observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2021-05-31,29,58,23,1006,0.0,4,6.2,45
2021-06-01,30,49,21,1006,0.0,4,6.2,45
2021-06-02,26,57,8,1008,0.0999999999999999,3,6.2,45
2021-06-03,24,77,7,1009,1.03333333333333,1,6.2,65
2021-06-04,27,61,7,1008,0.366666666666666,3,6.2,60
2021-06-05,25,75,9,1008,0.466666666666666,3,6.2,60
2021-06-06,24,77,14,1009,0.466666666666666,3,6.2,60
2021-06-07,26,64,23,1009,0.0,3,6.2,55
2021-06-08,26,67,22,1008,0.0333333333333333,3,6.2,50
2021-06-09,27,67,25,1007,0.0,3,6.2,45
2021-06-10,26,71,25,1006,0.0,3,6.2,45
2021-06-11,26,72,29,1005,0.0333333333333333,3,6.2,45
2021-06-12,27,68,23,1004,0.0333333333333333,3,6.2,45
2021-06-13,26,69,23,1004,0.0333333333333333,3,6.2,45
2021-06-15,26,74,26,1001,0.0333333333333333,3,6.2,45
2021-06-16,25,76,27,1002,0.0333333333333333,3,6.2,45
2021-06-17,25,75,25,1004,0.133333333333333,3,6.2,48
2021-06-18,25,72,24,1005,0.0333333333333333,3,6.2,45
2021-06-19,25,71,26,1006,0.0666666666666666,3,6.2,45
2021-06-20,25,69,27,1007,0.0999999999999999,3,6.2,45
2021-06-21,26,64,24,1008,0.0333333333333333,3,6.2,45
2021-06-22,26,67,21,1009,0.0666666666666666,3,6.2,45
2021-06-23,26,63,22,1009,0.0,3,6.2,43
2021-06-24,25,65,24,1009,0.0,3,6.2,43
2021-06-25,25,68,25,1008,0.0,3,6.2,43
2021-06-26,26,61,25,1007,0.0,3,6.2,43
2021-06-27,26,63,21,1009,0.0666666666666666,3,6.2,45
2021-06-28,26,68,18,1009,0.0666666666666666,3,6.2,45
2021-06-29,26,73,15,1008,0.2,3,6.2,45
2021-06-30,26,72,22,1008,0.0333333333333333,3,3.8,45
