observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Bacterial Blight/Telya,Anthracnose,Fruit Spot/Rot,Fusarium Wilt,Fruit Borer/Blight Blora
2021-04-01,30,20,10,1011,0.1539789857683453,4,11.015507134717922,36,0,0,0,0,0
2021-04-02,31,20,10,1010,0.11791778385967092,4,11.10338330074432,36,0,0,0,0,0
2021-04-03,31,20,10,1010,0.1771074226690724,4,11.115333550933364,36,0,0,0,0,0
2021-04-04,31,19,10,1010,0.13998032196674073,4,11.187862793935178,36,0,0,0,0,0
2021-04-05,31,19,10,1010,0.14262912433170544,4,11.24682710288071,36,0,0,0,0,0
2021-04-06,31,19,10,1010,0.16732889467612266,4,11.329533337265367,36,0,0,0,0,0
2021-04-07,31,19,10,1010,0.16790028617952174,4,11.429592680853105,36,0,0,0,0,0
2021-04-08,31,19,11,1010,0.18431599805128696,4,11.438016746594078,36,0,0,0,0,0
2021-04-09,31,19,11,1009,0.15042326312410986,4,11.485967910449991,36,0,0,0,0,0
2021-04-10,31,19,11,1009,0.210843309039064,4,11.44809715737767,36,0,0,0,0,0
2021-04-11,31,20,11,1009,0.17396071936705831,4,11.462088406543346,36,0,0,0,0,0
2021-04-12,31,20,12,1009,0.1758505384349387,4,11.455243978406118,36,0,0,0,0,0
2021-04-13,31,20,12,1009,0.19880113327647247,4,11.46654410055662,36,0,0,0,0,0
2021-04-14,31,21,12,1009,0.1966770594218245,4,11.491453151829493,36,0,0,0,0,0
2021-04-15,31,21,12,1009,0.20952426412608488,4,11.422962625733238,36,0,0,0,0,0
2021-04-16,31,22,12,1009,0.1712904033529871,4,11.394283988649379,36,0,0,0,0,0
2021-04-17,31,23,12,1009,0.2267212835427087,4,11.2821263698633,36,0,0,0,0,0
2021-04-18,31,23,13,1009,0.18434644869080985,4,11.226179796887154,36,0,0,0,0,0
2021-04-19,31,24,13,1009,0.18040187467159344,4,11.155640426993482,36,0,0,0,0,0
2021-04-20,31,25,13,1009,0.19734792270967827,4,11.111212449815941,36,0,0,0,0,0
2021-04-21,30,25,13,1009,0.18922695316012247,4,11.089861075953733,36,0,0,0,0,0
2021-04-22,30,26,13,1009,0.196263098784602,4,10.985808194808605,36,0,0,0,0,0
2021-04-23,30,27,13,1009,0.1525771453236873,4,10.933185318361195,36,0,0,0,0,0
2021-04-24,30,27,13,1009,0.20307770237100176,4,10.809279985046778,37,0,0,0,0,0
2021-04-25,30,28,14,1009,0.1564418520775292,4,10.753997332586739,36,0,0,0,0,0
2021-04-26,30,28,14,1009,0.1490333943332627,4,10.696374013750304,37,0,0,0,0,0
2021-04-27,30,28,14,1009,0.1634169817353879,4,10.6765795576837,37,0,0,0,0,0
2021-04-28,30,28,14,1009,0.15371266705610284,4,10.69067970988972,37,0,0,0,0,0
2021-04-29,30,29,14,1009,0.16019346015103647,4,10.63165313711313,37,0,0,0,0,0
