Model_name,Accuracy,Loss,Hamming_loss,Filename
LogisticRegression,70.69,29.31,7.63,MultiLabelModel_LogisticRegression.pkl
KNeighborsClassifier,89.3,10.7,2.67,MultiLabelModel_KNeighborsClassifier.pkl
GaussianNB,62.72,37.28,13.34,MultiLabelModel_GaussianNB.pkl
SVC,97.13,2.87,0.61,MultiLabelModel_SVC.pkl
DecisionTreeClassifier,100,0,0,MultiLabelModel_DecisionTreeClassifier.pkl
RandomForestClassifier,100,0,0,MultiLabelModel_RandomForestClassifier.pkl
GradientBoostingClassifier,97.95,2.05,0.47,MultiLabelModel_GradientBoostingClassifier.pkl
AdaBoostClassifier,96.82,3.18,0.7,MultiLabelModel_AdaBoostClassifier.pkl
