observation,tempC_7to8,tempC_1to2,tempC_6to7,humidity_7to8,humidity_1to2,humidity_6to7,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,precipMM_7to8,precipMM_1to2,precipMM_6to7,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7
2018-02-21,26,33,27,23,17,25,9,7,7,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-02-22,27,34,27,23,18,25,8,3,8,1012,1008,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-02-23,28,34,27,23,17,29,8,3,9,1012,1009,1011,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-02-24,28,33,27,28,21,30,7,4,9,1014,1011,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-02-25,28,34,29,28,18,25,9,8,1,1015,1012,1012,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-02-26,28,34,28,28,18,27,9,6,9,1014,1011,1011,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-02-27,28,34,29,27,17,24,14,10,5,1013,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-02-28,28,35,30,23,14,23,16,6,2,1013,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-01,29,35,29,23,15,26,6,4,6,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-02,29,36,29,23,14,22,5,4,7,1012,1009,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-03,29,34,28,22,16,23,6,5,16,1011,1008,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-04,28,33,27,24,17,25,1,11,17,1011,1008,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-05,27,33,28,24,17,26,8,6,9,1012,1010,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-06,28,34,30,25,16,22,10,9,9,1013,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-07,29,35,27,21,15,29,15,13,11,1011,1008,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-08,29,34,28,25,17,29,4,4,13,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-09,29,35,28,23,14,24,11,8,13,1013,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-11,30,35,28,20,14,20,8,9,16,1013,1010,1011,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-12,29,35,29,15,12,17,11,8,11,1013,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-13,30,35,27,12,13,18,8,10,16,1013,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-14,27,33,26,16,14,13,9,15,13,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-15,25,29,27,17,20,26,5,6,5,1012,1010,1011,0.0,0.0,0.0,Sunny,Sunny,Partly cloudy
2018-03-16,27,32,29,28,16,25,3,8,10,1011,1009,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-17,28,34,30,27,17,24,5,3,3,1012,1009,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-18,29,32,29,25,26,31,8,8,7,1011,1009,1011,0.0,0.0,0.0,Sunny,Partly cloudy,Partly cloudy
2018-03-19,28,32,28,42,29,30,3,7,13,1013,1011,1012,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Clear
