observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2020-11-06,23,42,11,1014,0.0,4,9.7,44
2020-11-07,23,49,13,1015,0.0,4,9.7,44
2020-11-08,23,54,9,1015,0.0,4,9.7,44
2020-11-09,22,40,10,1014,0.0,5,9.7,41
2020-11-10,22,39,11,1012,0.0,5,9.7,40
2020-11-11,21,38,14,1013,0.0,5,9.7,44
2020-11-12,22,37,12,1014,0.0,5,9.7,45
2020-11-13,24,62,10,1013,0.0,4,9.7,42
2020-11-14,25,62,10,1011,0.0,3,9.7,45
2020-11-15,26,50,9,1011,0.0,4,9.7,44
2020-11-16,26,47,9,1011,0.0,4,9.7,44
2020-11-17,25,56,8,1011,0.0,4,9.7,45
2020-11-18,27,48,9,1009,0.0,4,9.7,44
2020-11-19,26,49,7,1010,0.0,4,9.7,44
2020-11-21,25,44,9,1012,0.0,4,9.7,42
2020-11-22,24,46,10,1013,0.0,4,9.7,45
2020-11-23,25,49,8,1012,0.0,4,9.7,41
2020-11-24,25,45,9,1012,0.0,4,9.7,40
2020-11-25,24,38,10,1011,0.0,4,9.7,44
2020-11-26,23,35,13,1012,0.0,4,9.7,44
2020-11-27,22,52,22,1014,0.0,4,9.7,41
2020-11-28,22,57,20,1015,0.0,4,9.7,43
2020-11-29,25,57,15,1013,0.0,3,9.7,45
2020-11-30,25,59,10,1013,0.0,4,9.6,41
2020-12-01,26,51,9,1013,0.0,4,9.6,44
2020-12-02,26,41,8,1012,0.0,4,9.6,40
2020-12-03,24,35,9,1012,0.0,5,9.6,44
2020-12-04,24,33,9,1011,0.0,5,9.6,42
2020-12-05,24,30,9,1011,0.0,5,9.6,43
2020-12-06,23,31,12,1013,0.0,5,9.6,44
