observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2017-02-10,25,27,6,1011,0.0,5,10.1,42
2017-02-11,24,28,10,1012,0.0,5,10.1,45
2017-02-12,25,22,4,1014,0.0,5,10.1,43
2017-02-13,26,31,8,1016,0.0,5,10.1,41
2017-02-14,27,34,8,1017,0.0,5,10.1,40
2017-02-15,27,33,8,1018,0.0,5,10.1,45
2017-02-16,26,31,9,1015,0.0,5,10.1,41
2017-02-17,27,24,9,1015,0.0,5,10.1,42
2017-02-18,28,20,8,1015,0.0,5,10.1,40
2017-02-19,30,19,6,1013,0.0,5,10.1,41
2017-02-20,28,22,9,1010,0.0,5,10.1,45
2017-02-21,26,33,11,1010,0.0,5,10.1,45
2017-02-22,26,29,9,1012,0.0,5,10.1,45
2017-02-23,29,21,6,1013,0.0,5,10.1,40
2017-02-24,28,15,7,1014,0.0,5,10.1,43
2017-02-25,27,14,10,1014,0.0,5,10.1,40
2017-02-26,29,12,7,1011,0.0,5,10.1,41
2017-02-27,29,13,7,1012,0.0,5,10.1,40
2017-02-28,31,15,4,1012,0.0,5,10.1,42
2017-03-01,31,17,5,1011,0.0,5,10.1,31
2017-03-02,29,20,6,1009,0.0,5,10.1,31
2017-03-04,27,19,6,1008,0.0,5,10.7,34
2017-03-05,28,19,6,1009,0.0,5,10.7,30
2017-03-06,27,23,8,1008,0.0,5,10.7,34
2017-03-07,27,24,7,1008,0.0,5,10.7,30
2017-03-08,26,30,10,1009,0.0,5,10.7,35
2017-03-09,25,29,11,1008,0.0,5,10.7,35
2017-03-10,23,53,14,1008,0.0,5,10.7,35
2017-03-11,22,40,13,1012,0.0,5,10.7,35
2017-03-12,25,17,6,1012,0.0,5,10.7,31
