observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2015-02-16,29,20,5,1013,0.0,5,10.1,43
2015-02-17,27,21,8,1012,0.0,5,10.1,45
2015-02-18,26,30,7,1012,0.0,5,10.1,45
2015-02-19,28,27,5,1012,0.0,5,10.1,44
2015-02-20,28,24,4,1012,0.0,5,10.1,43
2015-02-21,27,21,9,1013,0.0,5,10.1,41
2015-02-22,28,22,8,1013,0.0,5,10.1,42
2015-02-23,28,20,7,1013,0.0,5,10.1,43
2015-02-24,29,23,3,1010,0.0,5,10.1,42
2015-02-25,26,34,9,1010,0.0,5,10.1,44
2015-02-26,24,34,10,1010,0.0,5,10.1,42
2015-02-27,25,27,6,1010,0.0,5,10.1,42
2015-02-28,23,46,9,1010,0.333333333333333,3,10.1,45
2015-03-01,18,84,11,1009,0.333333333333333,1,10.1,55
2015-03-02,20,61,12,1013,0.0,3,10.1,33
2015-03-03,22,36,4,1014,0.0,5,10.7,32
2015-03-04,23,34,4,1013,0.0,5,10.7,33
2015-03-05,25,31,5,1013,0.0,5,10.7,35
2015-03-06,26,27,6,1014,0.0,5,10.7,32
2015-03-07,27,24,7,1013,0.0,5,10.7,31
2015-03-08,27,29,6,1013,0.0,5,10.7,34
2015-03-09,27,25,8,1015,0.0,5,10.7,31
2015-03-10,25,34,9,1012,0.0,5,10.7,35
2015-03-11,29,24,8,1011,0.0,3,10.7,45
2015-03-12,28,22,6,1011,0.0,3,10.7,40
2015-03-13,29,22,8,1012,0.0,3,10.7,30
2015-03-14,28,22,7,1011,0.0,5,10.7,30
2015-03-15,29,21,5,1011,0.0,5,10.7,34
2015-03-16,30,20,6,1010,0.0,5,10.7,34
2015-03-17,30,19,6,1010,0.0,5,10.7,32
