observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2016-10-30,24,43,7,1012,0.0,5,9.1,43
2016-10-31,25,49,8,1014,0.0,5,9.1,43
2016-11-01,23,31,9,1014,0.0,5,9.1,45
2016-11-02,24,34,9,1013,0.0,5,9.7,42
2016-11-03,24,36,8,1014,0.0,5,9.7,40
2016-11-04,24,42,6,1011,0.0,5,9.7,41
2016-11-05,25,36,8,1010,0.0,5,9.7,41
2016-11-06,24,30,9,1012,0.0,5,9.7,45
2016-11-07,24,29,8,1014,0.0,5,9.7,45
2016-11-08,25,29,7,1014,0.0,5,9.7,41
2016-11-09,24,25,7,1015,0.0,5,9.7,40
2016-11-10,24,27,6,1014,0.0,5,9.7,43
2016-11-11,24,25,6,1013,0.0,5,9.7,42
2016-11-12,24,28,8,1014,0.0,5,9.7,41
2016-11-13,23,32,9,1015,0.0,5,9.7,44
2016-11-14,25,43,6,1014,0.0,5,9.7,40
2016-11-15,25,46,8,1013,0.0,5,9.7,42
2016-11-16,25,46,9,1014,0.0,5,9.7,43
2016-11-17,24,40,9,1014,0.0,5,9.7,41
2016-11-18,23,28,10,1013,0.0,4,9.7,42
2016-11-19,24,27,8,1012,0.0,3,9.7,43
2016-11-20,23,25,8,1012,0.0,5,9.7,40
2016-11-22,24,27,8,1013,0.0,5,9.7,42
2016-11-23,24,31,8,1012,0.0,5,9.7,41
2016-11-24,24,31,9,1012,0.0,5,9.7,45
2016-11-25,24,28,10,1013,0.0,5,9.7,40
2016-11-26,24,23,8,1013,0.0,5,9.7,41
2016-11-27,25,23,8,1013,0.0,5,9.7,44
2016-11-28,27,24,5,1013,0.0,5,9.7,44
2016-11-29,26,26,4,1013,0.0,5,9.7,40
