observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2017-05-24,34,28,13,1005,0.0,5,10.4,31
2017-05-25,33,41,14,1005,0.0,5,10.4,31
2017-05-26,32,43,16,1005,0.0,5,10.4,32
2017-05-27,31,56,18,1005,0.0,5,10.4,35
2017-05-28,30,57,19,1005,0.0,5,10.4,34
2017-05-29,29,61,21,1004,0.0,4,10.4,30
2017-05-30,28,66,18,1003,0.1,3,10.4,40
2017-05-31,30,62,13,1002,0.366666666666666,1,10.4,45
2017-06-01,30,62,7,1003,0.7666666666666658,1,10.4,50
2017-06-02,31,60,4,1004,0.233333333333333,3,10.4,40
2017-06-03,30,65,9,1005,0.833333333333333,2,6.2,50
2017-06-04,28,70,11,1007,0.6666666666666661,1,6.2,50
2017-06-05,28,68,14,1006,0.2,3,6.2,50
2017-06-06,29,66,12,1007,0.133333333333333,3,6.2,50
2017-06-07,26,76,10,1008,0.5,1,6.2,55
2017-06-08,27,69,12,1006,0.133333333333333,3,6.2,55
2017-06-09,28,68,13,1005,0.4333333333333329,1,6.2,62
2017-06-10,27,72,9,1004,0.833333333333333,1,6.2,65
2017-06-11,27,70,8,1003,0.3999999999999989,1,6.2,65
2017-06-12,27,73,10,1003,0.266666666666666,1,6.2,65
2017-06-14,28,74,9,1006,0.6,1,6.2,65
2017-06-15,27,76,12,1006,1.13333333333333,1,6.2,65
2017-06-16,28,71,11,1005,0.0999999999999999,3,6.2,60
2017-06-17,28,71,13,1006,0.1999999999999989,1,6.2,55
2017-06-18,28,70,15,1005,0.0666666666666666,3,6.2,50
2017-06-19,27,70,16,1004,0.0666666666666666,3,6.2,55
2017-06-20,27,73,17,1005,0.0333333333333333,3,6.2,55
2017-06-21,27,71,19,1005,0.0,3,6.2,55
2017-06-22,27,73,18,1006,0.0666666666666666,3,6.2,55
2017-06-23,27,73,18,1005,0.1,3,6.2,55
