observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2014-04-09,31,24,9,1011,0.0,5,11.2,30
2014-04-10,31,19,10,1011,0.0,5,11.2,30
2014-04-11,30,15,11,1010,0.0,5,11.2,32
2014-04-12,32,21,7,1009,0.0,5,11.2,30
2014-04-13,31,28,8,1009,0.0,5,11.2,32
2014-04-15,33,28,7,1010,0.0,5,11.2,35
2014-04-16,34,27,8,1008,0.0,5,11.2,31
2014-04-17,32,34,10,1008,0.0,5,11.2,30
2014-04-18,32,32,10,1010,0.0,5,11.2,31
2014-04-19,33,28,7,1010,0.0,5,11.2,35
2014-04-20,34,23,6,1008,0.0,5,11.2,34
2014-04-21,35,22,6,1008,0.0,5,11.2,30
2014-04-22,34,21,5,1010,0.0,5,11.2,30
2014-04-23,36,18,6,1009,0.0,5,11.2,32
2014-04-24,35,16,9,1007,0.0,5,11.2,30
2014-04-25,34,18,10,1008,0.0,5,11.2,31
2014-04-26,35,16,9,1007,0.0,5,11.2,32
2014-04-27,35,20,8,1008,0.0,5,11.2,35
2014-04-28,35,26,10,1007,0.0,5,11.2,32
2014-04-29,35,27,8,1007,0.0,5,11.2,33
2014-04-30,34,26,10,1007,0.0,5,11.2,33
2014-05-01,34,25,9,1007,0.0666666666666666,5,11.2,32
2014-05-02,33,26,11,1007,0.0,5,10.4,30
2014-05-03,34,20,9,1007,0.0,5,10.4,35
2014-05-04,34,21,9,1006,0.0,5,10.4,31
2014-05-05,34,24,8,1006,0.0,5,10.4,32
2014-05-06,36,20,7,1006,0.0,5,10.4,33
2014-05-07,35,23,7,1005,0.0,5,10.4,32
2014-05-08,33,30,9,1005,0.0,5,10.4,34
2014-05-09,34,25,8,1004,0.0,5,10.4,32
