observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure
2015-05-30,33,39,12,1006,0.0,5,10.4,34
2015-05-31,34,25,15,1005,0.0,5,10.4,34
2015-06-01,30,44,17,1004,0.0,4,10.4,35
2015-06-02,31,42,16,1006,0.0,5,10.4,35
2015-06-03,31,43,12,1005,0.0,5,6.2,35
2015-06-04,33,40,8,1005,0.0,5,6.2,30
2015-06-05,33,40,6,1007,0.0,4,6.2,34
2015-06-06,32,45,7,1005,0.333333333333333,1,6.2,48
2015-06-07,30,60,9,1004,0.933333333333333,2,6.2,60
2015-06-08,29,61,9,1004,0.1,3,6.2,55
2015-06-09,29,54,10,1006,0.166666666666666,3,6.2,50
2015-06-10,29,63,9,1005,0.5333333333333329,1,6.2,60
2015-06-11,29,63,9,1005,0.266666666666666,3,6.2,50
2015-06-12,27,73,13,1005,0.7,1,6.2,62
2015-06-13,25,78,13,1005,0.366666666666666,3,6.2,55
2015-06-14,25,80,13,1004,0.366666666666666,1,6.2,60
2015-06-15,23,85,11,1006,0.0666666666666666,3,6.2,55
2015-06-16,26,73,13,1004,0.4333333333333329,1,6.2,62
2015-06-17,28,65,11,1000,0.4,1,6.2,50
2015-06-18,26,74,9,1002,0.3,3,6.2,60
2015-06-19,25,80,12,1001,0.6666666666666661,2,6.2,65
2015-06-20,26,78,12,999,0.0333333333333333,3,6.2,55
2015-06-21,26,78,13,999,0.1999999999999989,1,6.2,60
2015-06-22,24,84,16,1000,0.833333333333333,2,6.2,65
2015-06-23,25,83,17,998,0.9666666666666658,2,6.2,65
2015-06-24,23,90,25,1001,1.03333333333333,1,6.2,65
2015-06-25,24,88,21,1003,0.133333333333333,3,6.2,55
2015-06-26,25,81,22,1002,0.0666666666666666,3,6.2,50
2015-06-27,25,82,17,1004,0.0,3,6.2,48
2015-06-28,25,83,13,1006,0.0333333333333333,3,6.2,48
