epoch,loss,accuracy,val_loss,val_accuracy
1,2.1260,0.4438,0.9533,0.6712
2,0.7810,0.7130,0.9017,0.6532
3,0.5621,0.7875,0.5016,0.8198
4,0.3334,0.8977,0.4363,0.8559
5,0.2537,0.9310,0.3666,0.8874
6,0.1975,0.9477,0.7118,0.7117
7,0.3513,0.8665,0.3075,0.9054
8,0.1996,0.9511,0.2966,0.9054
9,0.1392,0.9733,0.2971,0.9054
10,0.1047,0.9811,0.2648,0.9144
11,0.0986,0.9867,0.2682,0.9099
12,0.0819,0.9911,0.2536,0.9144
13,0.0716,0.9956,0.2555,0.9099
14,0.0693,0.9922,0.2935,0.9099
15,0.0625,0.9944,0.2228,0.9234
16,0.0503,0.9944,0.2302,0.9234
17,0.0453,0.9978,0.2121,0.9369
18,0.0358,1.0000,0.2122,0.9369
19,0.0338,1.0000,0.2222,0.9279
20,0.0335,1.0000,0.2114,0.9279
